Preço das ações:,
,
,
Data,Abertura
01/01/11,"8,44"
01/02/11,"8,10"
01/03/11,"9,27"
01/04/11,"8,61"
01/05/11,"9,16"
01/06/11,"8,65"
01/07/11,"6,99"
01/08/11,"7,54"
01/09/11,"6,83"
01/10/11,"5,03"
01/11/11,"5,56"
01/12/11,"5,61"
01/01/12,"5,53"
01/02/12,"6,83"
01/03/12,"7,47"
01/04/12,"8,03"
01/05/12,"7,34"
01/06/12,"5,90"
01/07/12,"5,75"
01/08/12,"4,09"
01/09/12,"3,69"
01/10/12,"3,39"
01/11/12,"2,07"
01/12/12,"2,28"
01/01/13,"2,55"
01/02/13,"2,63"
01/03/13,"2,50"
01/04/13,"2,54"
01/05/13,"2,81"
01/06/13,"4,02"
01/07/13,"4,11"
01/08/13,"3,81"
01/09/13,"3,32"
01/10/13,"3,82"
01/11/13,"3,37"
01/12/13,"3,65"
01/01/14,"3,85"
01/02/14,"3,43"
01/03/14,"3,66"
01/04/14,"4,04"
01/05/14,"4,13"
01/06/14,"4,03"
01/07/14,"4,21"
01/08/14,"3,91"
01/09/14,"4,16"
01/10/14,"3,39"
01/11/14,"2,81"
01/12/14,"2,77"
01/01/15,"2,70"
01/02/15,"2,69"
01/03/15,"3,13"
01/04/15,"2,66"
01/05/15,"2,26"
01/06/15,"2,29"
01/07/15,"2,47"
01/08/15,"1,93"
01/09/15,"1,77"
01/10/15,"1,77"
01/11/15,"2,13"
01/12/15,"2,36"
01/01/16,"2,77"
01/02/16,"2,17"
01/03/16,"2,16"
01/04/16,"2,79"
01/05/16,"3,58"
01/06/16,"4,60"
01/07/16,"5,09"
01/08/16,"6,89"
01/09/16,"7,18"
01/10/16,"6,95"
01/11/16,"7,32"
01/12/16,"8,92"
01/01/11,"8,44"
